Time,Pair,Side,Entry,Exit,Reason,Gross_USD,Fees_USD,Slippage_USD,Net_PnL_INR
2026-09-20 14:08:08,B-SOL_USDT,LONG,108.11,108.5,Timeout,1.57,0.33,0.22,106.57
2026-09-20 14:08:13,B-ADA_USDT,LONG,0.22,0.22,Timeout,4.37,0.21,0.14,358.21
2026-09-20 14:09:23,B-ETH_USDT,LONG,2573.21,2582.87,Timeout,2.35,0.47,0.31,161.5
2026-09-20 14:13:11,B-XRP_USDT,LONG,1.38,1.38,Timeout,0.26,0.35,0.24,-8.02
2026-09-20 16:07:59,B-XRP_USDT,LONG,1.37,1.39,Limit TP,5.81,0.23,0.0,480.57
2026-09-20 16:28:05,B-SOL_USDT,LONG,108.01,109.28,Limit TP,5.81,0.25,0.0,478.64
2026-09-21 05:31:24,B-BTC_USDT,LONG,80887.74,81708.8,Limit TP,5.81,0.29,0.0,475.25
