Time,Pair,Side,Entry,Exit,Reason,Gross_USD,Fees_USD,Slippage_USD,Net_PnL_INR
2026-09-20 10:38:25,B-ADA_USDT,SHORT,0.22,0.22,Limit TP,0.15,0.03,0.0,10.22
2026-09-20 16:11:53,B-SOL_USDT,SHORT,108.21,108.91,Stop Market,-3.15,0.37,0.25,-302.97
2026-09-20 16:32:01,B-XRP_USDT,SHORT,1.38,1.4,Timeout,-0.93,0.04,0.03,-83.71
2026-09-20 16:42:06,B-ADA_USDT,SHORT,0.22,0.23,Timeout,-2.91,0.04,0.03,-253.66
2026-09-20 19:52:29,B-SOL_USDT,SHORT,109.37,110.75,Stop Market,-3.03,0.18,0.12,-276.15
2026-09-21 00:47:41,B-BTC_USDT,LONG,81220.02,81783.51,Timeout,1.5,0.16,0.11,114.79
2026-09-21 01:48:02,B-XRP_USDT,LONG,1.41,1.42,Timeout,0.86,0.09,0.06,66.3
2026-09-21 01:55:34,B-SOL_USDT,LONG,110.78,111.13,Timeout,0.3,0.07,0.05,20.05
2026-09-21 03:23:29,B-ADA_USDT,LONG,0.23,0.23,Limit TP,0.41,0.03,0.0,32.63
